tconst     ,orignal tittle                                            ,startYear ,averageRating ,numVotes
tt4387040  ,Airlift                                                   ,     2016 ,          7.9 ,60K
tt0460394  ,Aithe                                                     ,     2003 ,          8   ,1.6K
tt0418460  ,Aitraaz                                                   ,     2004 ,          6.6 ,11K
tt1252596  ,Ajab Prem Ki Ghazab Kahani                                ,     2009 ,          6.4 ,18K
tt28265594 ,Ajab Tamasha                                              ,     2023 ,          7   ,1.5K
tt11718902 ,Ajagajantharam                                            ,     2021 ,          6.7 ,2.3K
tt31216055 ,Ajay Gadu                                                 ,     2024 ,          7.3 ,1K
tt14091818 ,Ajeeb Daastaans                                           ,     2021 ,          6.7 ,6.6K
tt6471054  ,Ajji                                                      ,     2017 ,          6.8 ,1.9K
tt27862531 ,Ajmer 92                                                  ,     2023 ,          7.8 ,1.3K
tt0278291  ,Ajnabee                                                   ,     2001 ,          6.3 ,9.4K
tt2423132  ,Akaash Vani                                               ,     2013 ,          6.4 ,2.3K
tt21827144 ,Akasha Veedullo                                           ,     2022 ,          6.7 ,2.1K
tt0112313  ,Akele Hum Akele Tum                                       ,     1995 ,          6.9 ,5.7K
tt22892546 ,Akelli                                                    ,     2023 ,          6.1 ,6.2K
tt11773378 ,Akhanda                                                   ,     2021 ,          6.8 ,20K
tt32324638 ,Akkada Varu Ikkada Unnaru                                 ,     2024 ,          9.1 ,1K
tt0254942  ,Akkare Akkare Akkare                                      ,     1990 ,          7.7 ,1.5K
tt28219502 ,Ala Ila Ela                                               ,     2023 ,          8.2 ,1.2K
tt1830477  ,Ala Modalaindi                                            ,     2011 ,          7.6 ,3.1K
tt28989465 ,Ala Ninnu Cheri                                           ,     2023 ,          6.6 ,3.6K
tt9537292  ,Ala Vaikunthapurramuloo                                   ,     2020 ,          7.3 ,25K
tt0242256  ,Alai Payuthey                                             ,     2000 ,          8.3 ,7.8K
tt31939390 ,Alanaati Ramachandrudu                                    ,     2024 ,          8.4 ,2.4K
tt28803144 ,Alangu                                                    ,     2024 ,          8.4 ,1.1K
tt5121000  ,Aligarh                                                   ,     2015 ,          7.8 ,8K
tt21740882 ,Alipiriki Allantha Dooram Lo                              ,     2022 ,          6.8 ,1.3K
tt24973142 ,All India Rank                                            ,     2023 ,          6   ,1.8K
tt1433905  ,All the Best: Fun Begins                                  ,     2009 ,          6.2 ,7.4K
tt32317640 ,Alyad Palyad                                              ,     2024 ,          6.9 ,1.2K
tt21627968 ,Am Aha                                                    ,     2022 ,          7.6 ,2.1K
tt0075669  ,Amar Akbar Anthony                                        ,     1977 ,          7.4 ,8.5K
tt5082670  ,Amar Akbar Anthony                                        ,     2015 ,          6.6 ,2.8K
tt0066758  ,Amar Prem                                                 ,     1972 ,          8.1 ,2.1K
tt26658272 ,Amar Singh Chamkila                                       ,     2024 ,          7.8 ,16K
tt0155487  ,Amaram                                                    ,     1991 ,          8.3 ,3.4K
tt27118357 ,Amaran                                                    ,     2024 ,          8.2 ,18K
tt0984177  ,Amarkalam                                                 ,     1999 ,          7.3 ,2.1K
tt8282830  ,Ambili                                                    ,     2019 ,          7   ,1.7K
tt2786278  ,Amen                                                      ,     2013 ,          7.9 ,3.6K
tt23490586 ,Amigos                                                    ,     2023 ,          6   ,3.1K
tt0374497  ,Amma Nanna O Tamila Ammayi                                ,     2003 ,          7.4 ,1.1K
tt2211174  ,Ammaa Ki Boli                                             ,     2021 ,          6.6 ,1.4K
tt19864926 ,Ammu                                                      ,     2022 ,          6.7 ,1.3K
tt15600222 ,An Action Hero                                            ,     2022 ,          7   ,33K
tt0097409  ,An Enemy of the People                                    ,     1989 ,          7.3 ,1.6K
tt6058394  ,Anaarkali of Aarah                                        ,     2017 ,          6   ,2K
tt34442671 ,Anamadheya Ashok Kumar                                    ,     2025 ,          9.4 ,1.1K
tt0066763  ,Anand                                                     ,     1971 ,          8.1 ,36K
tt0857300  ,Anand                                                     ,     2004 ,          8   ,2.6K
tt31416854 ,Anand Sreebala                                            ,     2024 ,          6.6 ,2.3K
tt0487011  ,Anandabhadram                                             ,     2005 ,          7.3 ,1.2K
tt7277680  ,Anando Brahma                                             ,     2017 ,          7.1 ,5.3K
tt27987150 ,Anantha                                                   ,     2023 ,          6.3 ,1.1K
tt9343826  ,Ananthu v/s Nusrath                                       ,     2018 ,          7.5 ,1.1K
tt4947084  ,Anarkali                                                  ,     2015 ,          7   ,2.4K
tt0367495  ,Anbe Sivam                                                ,     2003 ,          8.6 ,27K
tt0109117  ,Andaz Apna Apna                                           ,     1994 ,          8   ,56K
tt8108198  ,Andhadhun                                                 ,     2018 ,          8.2 ,108K
tt13130428 ,Andhagan                                                  ,     2024 ,          6.7 ,1.2K
tt9110340  ,Andhaghaaram                                              ,     2020 ,          7.5 ,4.2K
tt9526826  ,Android Kunjappan Ver 5.25                                ,     2019 ,          8   ,7.2K
tt15327052 ,Aneethi                                                   ,     2023 ,          6.6 ,1.2K
tt2002868  ,Anegan                                                    ,     2015 ,          6.7 ,4.2K
tt13919802 ,Anek                                                      ,     2022 ,          6.4 ,23K
tt6167894  ,Angamaly Diaries                                          ,     2017 ,          7.9 ,6.9K
tt0215517  ,Angoor                                                    ,     1982 ,          8.3 ,6K
tt4846952  ,Angrej                                                    ,     2015 ,          8.5 ,3.8K
tt8907986  ,Angrezi Medium                                            ,     2020 ,          7.2 ,19K
tt6613812  ,Angrezi Mein Kehte Hain                                   ,     2018 ,          6.7 ,1.3K
tt3368222  ,Angry Indian Goddesses                                    ,     2015 ,          6.9 ,3K
tt8784906  ,Ani... Dr. Kashinath Ghanekar                             ,     2018 ,          8.3 ,1.3K
tt13751694 ,Animal                                                    ,     2023 ,          6.1 ,105K
tt0109134  ,Anjaam                                                    ,     1994 ,          6.6 ,7.5K
tt10717738 ,Anjaam Pathiraa                                           ,     2020 ,          7.9 ,9.9K
tt0099043  ,Anjali                                                    ,     1990 ,          8.2 ,3.2K
tt1922545  ,Anjathe                                                   ,     2008 ,          8.1 ,2.5K
tt3614516  ,Ankhon Dekhi                                              ,     2013 ,          7.9 ,13K
tt0071145  ,Ankur                                                     ,     1974 ,          7.8 ,1.8K
tt2912578  ,Ankur Arora Murder Case                                   ,     2013 ,          6.5 ,2.3K
tt0139859  ,Annamalai                                                 ,     1992 ,          7.7 ,2.5K
tt0249361  ,Annamayya                                                 ,     1997 ,          8   ,1.9K
tt27730573 ,Annapurna Photo Studio                                    ,     2023 ,          6.9 ,1.1K
tt2648034  ,Annayum Rasoolum                                          ,     2013 ,          7.5 ,2.6K
tt0376127  ,Anniyan                                                   ,     2005 ,          8.3 ,23K
tt5838806  ,Annmariya Kalippilanu                                     ,     2016 ,          7.2 ,1.6K
tt1359552  ,Antaheen                                                  ,     2009 ,          7.8 ,1.8K
tt17501658 ,Antakshari                                                ,     2022 ,          6.5 ,1.6K
tt13528564 ,Ante Sundharaniki                                         ,     2022 ,          7.6 ,9K
tt21333170 ,Anth the End                                              ,     2022 ,          6.3 ,1.1K
tt24803454 ,Antha Naal                                                ,     2024 ,          8.2 ,1.2K
tt32614683 ,Anthima Theerpu                                           ,     2024 ,          8.1 ,1.5K
tt13491110 ,Antim: The Final Truth                                    ,     2021 ,          6.1 ,42K
tt27510682 ,Antony                                                    ,     2023 ,          6.3 ,1.4K
tt7336242  ,Anugraheethan Antony                                      ,     2021 ,          6.2 ,1.9K
tt0473604  ,Anukokunda Oka Roju                                       ,     2005 ,          7.9 ,1.9K
tt9793334  ,Anukoni Athidhi                                           ,     2019 ,          6.7 ,10K
tt29684697 ,Anukunnavanni Jaragavu Konni                              ,     2023 ,          8   ,1K
tt5375324  ,Anuraga Karikkin Vellam                                   ,     2016 ,          7.2 ,1.6K
tt27656274 ,Anveshi                                                   ,     2023 ,          6.3 ,2.2K
tt0953306  ,Anwar                                                     ,     2007 ,          6.5 ,1.1K
tt13885428 ,Anweshippin Kandethum                                     ,     2024 ,          7.4 ,9.9K
tt23647024 ,Ap04ramapuram                                             ,     2022 ,          8.4 ,2.2K
tt0451631  ,Apaharan                                                  ,     2005 ,          7.4 ,5.4K
tt0048956  ,Aparajito                                                 ,     1956 ,          8.2 ,17K
tt15964372 ,Aparajito                                                 ,     2022 ,          8.8 ,5.5K
tt0814014  ,Apne                                                      ,     2007 ,          6.1 ,3.7K
tt0096827  ,Apoorva Sagodharargal                                     ,     1989 ,          8.3 ,4.8K
tt5849148  ,Appa                                                      ,     2016 ,          7.9 ,1.5K
tt15575900 ,Appan                                                     ,     2022 ,          7.5 ,1.3K
tt3438252  ,Apur Panchali                                             ,     2013 ,          8.2 ,1.4K
tt25434258 ,Apurva                                                    ,     2023 ,          6.2 ,2.5K
tt0928194  ,Arabikkatha                                               ,     2007 ,          7.6 ,1.1K
tt0065416  ,Aradhana                                                  ,     1969 ,          7.6 ,2.1K
tt6270936  ,Aramm                                                     ,     2017 ,          7.6 ,2K
tt7557024  ,Aravindante Athidhikal                                    ,     2018 ,          7.1 ,1.6K
tt7765910  ,Aravindha Sametha                                         ,     2018 ,          7.3 ,10K
tt5565670  ,Ardaas                                                    ,     2016 ,          8.3 ,1.8K
tt9537346  ,Ardaas Karaan                                             ,     2019 ,          7.2 ,3K
tt20840000 ,Ardh                                                      ,     2022 ,          7.4 ,3.9K
tt0085178  ,Ardh Satya                                                ,     1983 ,          8.1 ,2.2K
tt12637548 ,Ardha Shathabdham                                         ,     2021 ,          7.6 ,1.8K
tt21767274 ,Are You Ok Baby?                                          ,     2023 ,          6.6 ,1.3K
tt3681464  ,Arima Nambi                                               ,     2014 ,          6.8 ,1.1K
