IMDb ID,Primary Title,Original Title,Year,IMDb Rating,IMDb Votes,Letterboxd Avg Rating,Letterboxd Rating Count,Letterboxd URL
tt14994064,,,2021,7.4,1.8K,3.23,714,https://letterboxd.com/tmdb/891479/
tt8364418,,,2018,7.1,3K,3.14,1495,https://letterboxd.com/tmdb/500971/
tt6348454,,,2017,7.2,1.2K,3.3,570,https://letterboxd.com/tmdb/415669/
tt1582466,,,2010,6.8,3.4K,3.38,1602,https://letterboxd.com/tmdb/38677/
tt5271432,,,2015,6.6,1.9K,3.38,1636,https://letterboxd.com/tmdb/374755/
tt8303612,,,2019,6.1,1.3K,2.93,1172,https://letterboxd.com/tmdb/585561/
tt0252196,,,1991,8.4,3.5K,3.66,667,https://letterboxd.com/tmdb/280363/
tt27618123,,,2023,6.3,1.3K,2.97,1829,https://letterboxd.com/tmdb/1118801/
tt10214826,,,2019,8.3,18K,3.73,5510,https://letterboxd.com/tmdb/610482/
tt28232127,,,2024,7.8,1K,0,0,https://letterboxd.com/tmdb/1156120/
tt1849718,,,2012,6.9,28K,3.22,7620,https://letterboxd.com/tmdb/84858/
tt27930683,,,2024,7.3,15K,3.27,739,https://letterboxd.com/tmdb/1238167/
tt0249336,,,1987,8.9,3.4K,3.72,545,https://letterboxd.com/tmdb/37612/
tt0098999,,,1990,7.6,9.7K,3.52,1707,https://letterboxd.com/tmdb/37403/
tt4387040,,,2016,7.9,60K,3.29,5574,https://letterboxd.com/tmdb/375290/
tt0094621,,,1988,7.7,1.5K,3.35,915,https://letterboxd.com/tmdb/78748/
tt0831840,,,2006,6.9,1.7K,3.28,297,https://letterboxd.com/tmdb/18799/
tt28265594,,,2023,7,1.5K,0,0,https://letterboxd.com/tmdb/1235882/
tt1252596,,,2009,6.4,18K,3.14,8688,https://letterboxd.com/tmdb/24827/
tt0418460,,,2004,6.6,11K,2.92,2142,https://letterboxd.com/tmdb/22315/
tt16103372,,,2024,6.2,1.2K,0,0,https://letterboxd.com/tmdb/968571/
tt0460394,,,2003,8,1.6K,3.54,535,https://letterboxd.com/tmdb/311777/
tt11718902,,,2021,6.7,2.3K,3.3,2400,https://letterboxd.com/tmdb/843729/
tt14091818,,,2021,6.7,6.6K,3.27,3467,https://letterboxd.com/tmdb/802403/
tt6471054,,,2017,6.8,1.9K,3.41,1108,https://letterboxd.com/tmdb/482154/
tt27862531,,,2023,7.8,1.3K,0,0,https://letterboxd.com/tmdb/1132482/
tt21827144,,,2022,6.7,2.1K,0,0,https://letterboxd.com/tmdb/1019949/
tt2423132,,,2013,6.4,2.3K,3.17,394,https://letterboxd.com/tmdb/181462/
tt0278291,,,2001,6.3,9.4K,3.01,1399,https://letterboxd.com/tmdb/22316/
tt22892546,,,2023,6.1,6.2K,0,0,https://letterboxd.com/tmdb/1157429/
